Entity,Code,Year,Palm fruit oil | 00000254 || Area harvested | 005312 || hectares
Brazil,BRA,1971,2500
Brazil,BRA,1972,2700
Brazil,BRA,1973,2900
Brazil,BRA,1974,3100
Brazil,BRA,1975,3300
Brazil,BRA,1976,4300
Brazil,BRA,1977,5700
Brazil,BRA,1978,7100
Brazil,BRA,1979,7600
Brazil,BRA,1980,5700
Brazil,BRA,1981,6600
Brazil,BRA,1982,7600
Brazil,BRA,1983,8600
Brazil,BRA,1984,11000
Brazil,BRA,1985,13500
Brazil,BRA,1986,14500
Brazil,BRA,1987,18000
Brazil,BRA,1988,21000
Brazil,BRA,1989,25000
Brazil,BRA,1990,33000
Brazil,BRA,1991,69316
Brazil,BRA,1992,80932
Brazil,BRA,1993,69714
Brazil,BRA,1994,67388
Brazil,BRA,1995,68003
Brazil,BRA,1996,72929
Brazil,BRA,1997,80345
Brazil,BRA,1998,79021
Brazil,BRA,1999,77773
Brazil,BRA,2000,81881
Brazil,BRA,2001,84636
Brazil,BRA,2002,78363
Brazil,BRA,2003,85889
Brazil,BRA,2004,87542
Brazil,BRA,2005,87925
Brazil,BRA,2006,96509
Brazil,BRA,2007,102042
Brazil,BRA,2008,103158
Brazil,BRA,2009,103904
Brazil,BRA,2010,106420
Brazil,BRA,2011,109080
Brazil,BRA,2012,113135
Brazil,BRA,2013,108635
Brazil,BRA,2014,126559
Brazil,BRA,2015,140082
Brazil,BRA,2016,135546
Brazil,BRA,2017,115133
Brazil,BRA,2018,161558
Brazil,BRA,2019,177475
Brazil,BRA,2020,201702
Brazil,BRA,2021,197165
Brazil,BRA,2022,200527
Burundi,BDI,1961,800
Burundi,BDI,1962,800
Burundi,BDI,1963,800
Burundi,BDI,1964,800
Burundi,BDI,1965,800
Burundi,BDI,1966,800
Burundi,BDI,1967,800
Burundi,BDI,1968,900
Burundi,BDI,1969,1100
Burundi,BDI,1970,1200
Burundi,BDI,1971,1200
Burundi,BDI,1972,1100
Burundi,BDI,1973,1300
Burundi,BDI,1974,1000
Burundi,BDI,1975,1200
Burundi,BDI,1976,1200
Burundi,BDI,1977,1200
Burundi,BDI,1978,1600
Burundi,BDI,1979,1200
Burundi,BDI,1980,1200
Burundi,BDI,1981,1200
Burundi,BDI,1982,1200
Burundi,BDI,1983,1200
Burundi,BDI,1984,1200
Burundi,BDI,1985,1250
Burundi,BDI,1986,1250
Burundi,BDI,1987,1250
Burundi,BDI,1988,1250
Burundi,BDI,1989,1250
Burundi,BDI,1990,1250
Burundi,BDI,1991,1250
Burundi,BDI,1992,1250
Burundi,BDI,1993,1250
Burundi,BDI,1994,1250
Burundi,BDI,1995,1250
Burundi,BDI,1996,1250
Burundi,BDI,1997,1250
Burundi,BDI,1998,1250
Burundi,BDI,1999,1250
Burundi,BDI,2000,1200
Burundi,BDI,2001,950
Burundi,BDI,2002,1100
Burundi,BDI,2003,1500
Burundi,BDI,2004,2000
Burundi,BDI,2005,3300
Burundi,BDI,2006,5500
Burundi,BDI,2007,8500
Burundi,BDI,2008,9500
Burundi,BDI,2009,9000
Burundi,BDI,2010,8400
Burundi,BDI,2011,7000
Burundi,BDI,2012,7200
Burundi,BDI,2013,7900
Burundi,BDI,2014,8636
Burundi,BDI,2015,8741
Burundi,BDI,2016,8752
Burundi,BDI,2017,8791
Burundi,BDI,2018,8817
Burundi,BDI,2019,9053
Burundi,BDI,2020,8978
Burundi,BDI,2021,9066
Burundi,BDI,2022,9154
Cambodia,KHM,1991,13086
Cambodia,KHM,1992,13112
Cambodia,KHM,1993,13139
Cambodia,KHM,1994,13165
Cambodia,KHM,1995,13191
Cambodia,KHM,1996,13218
Cambodia,KHM,1997,13244
Cambodia,KHM,1998,13271
Cambodia,KHM,1999,13298
Cambodia,KHM,2000,13325
Cambodia,KHM,2001,13352
Cambodia,KHM,2002,13379
Cambodia,KHM,2003,13406
Cambodia,KHM,2004,13463
Cambodia,KHM,2005,13549
Cambodia,KHM,2006,13636
Cambodia,KHM,2007,13724
Cambodia,KHM,2008,13814
Cambodia,KHM,2009,13904
Cambodia,KHM,2010,13996
Cambodia,KHM,2011,14089
Cambodia,KHM,2012,14115
Cambodia,KHM,2013,14224
Cambodia,KHM,2014,14300
Cambodia,KHM,2015,17342
Cambodia,KHM,2016,21835
Cambodia,KHM,2017,28035
Cambodia,KHM,2018,34790
Cambodia,KHM,2019,41131
Cambodia,KHM,2020,46539
Cambodia,KHM,2021,51863
Cambodia,KHM,2022,42560
Cameroon,CMR,1961,30000
Cameroon,CMR,1962,28000
Cameroon,CMR,1963,35000
Cameroon,CMR,1964,37000
Cameroon,CMR,1965,45000
Cameroon,CMR,1966,33000
Cameroon,CMR,1967,45000
Cameroon,CMR,1968,47000
Cameroon,CMR,1969,43000
Cameroon,CMR,1970,37000
Cameroon,CMR,1971,34000
Cameroon,CMR,1972,35000
Cameroon,CMR,1973,36000
Cameroon,CMR,1974,37000
Cameroon,CMR,1975,42000
Cameroon,CMR,1976,33000
Cameroon,CMR,1977,33000
Cameroon,CMR,1978,36000
Cameroon,CMR,1979,38000
Cameroon,CMR,1980,43000
Cameroon,CMR,1981,35000
Cameroon,CMR,1982,40000
Cameroon,CMR,1983,33000
Cameroon,CMR,1984,45000
Cameroon,CMR,1985,45000
Cameroon,CMR,1986,45000
Cameroon,CMR,1987,45000
Cameroon,CMR,1988,45000
Cameroon,CMR,1989,55000
Cameroon,CMR,1990,55000
Cameroon,CMR,1991,52000
Cameroon,CMR,1992,52500
Cameroon,CMR,1993,48000
Cameroon,CMR,1994,49000
Cameroon,CMR,1995,50000
Cameroon,CMR,1996,51000
Cameroon,CMR,1997,52000
Cameroon,CMR,1998,52000
Cameroon,CMR,1999,55000
Cameroon,CMR,2000,56075
Cameroon,CMR,2001,55000
Cameroon,CMR,2002,56000
Cameroon,CMR,2003,57000
Cameroon,CMR,2004,57000
Cameroon,CMR,2005,70000
Cameroon,CMR,2006,72000
Cameroon,CMR,2007,72857
Cameroon,CMR,2008,78202
Cameroon,CMR,2009,102109
Cameroon,CMR,2010,112430
Cameroon,CMR,2011,121770
Cameroon,CMR,2012,128000
Cameroon,CMR,2013,135000
Cameroon,CMR,2014,136356
Cameroon,CMR,2015,145919
Cameroon,CMR,2016,170761
Cameroon,CMR,2017,183103
Cameroon,CMR,2018,197561
Cameroon,CMR,2019,201903
Cameroon,CMR,2020,219683
Cameroon,CMR,2021,210189
Cameroon,CMR,2022,206624
Caribbean (FAO),,1989,1000
Caribbean (FAO),,1990,3000
Caribbean (FAO),,1991,5000
Caribbean (FAO),,1992,6000
Caribbean (FAO),,1993,8000
Caribbean (FAO),,1994,9000
Caribbean (FAO),,1995,9000
Caribbean (FAO),,1996,9000
Caribbean (FAO),,1997,8935
Caribbean (FAO),,1998,11747
Caribbean (FAO),,1999,12553
Caribbean (FAO),,2000,13527
Caribbean (FAO),,2001,14507
Caribbean (FAO),,2002,15492
Caribbean (FAO),,2003,16481
Caribbean (FAO),,2004,17475
Caribbean (FAO),,2005,18475
Caribbean (FAO),,2006,19480
Caribbean (FAO),,2007,20490
Caribbean (FAO),,2008,21506
Caribbean (FAO),,2009,22526
Caribbean (FAO),,2010,16857
Caribbean (FAO),,2011,18464
Caribbean (FAO),,2012,18714
Caribbean (FAO),,2013,18714
Caribbean (FAO),,2014,18717
Caribbean (FAO),,2015,19066
Caribbean (FAO),,2016,18000
Caribbean (FAO),,2017,18000
Caribbean (FAO),,2018,19000
Caribbean (FAO),,2019,20000
Caribbean (FAO),,2020,21000
Caribbean (FAO),,2021,22000
Caribbean (FAO),,2022,23000
Central African Republic,CAF,1961,2800
Central African Republic,CAF,1962,2800
Central African Republic,CAF,1963,2800
Central African Republic,CAF,1964,2800
Central African Republic,CAF,1965,2800
Central African Republic,CAF,1966,4500
Central African Republic,CAF,1967,4500
Central African Republic,CAF,1968,4500
Central African Republic,CAF,1969,6500
Central African Republic,CAF,1970,6500
Central African Republic,CAF,1971,6500
Central African Republic,CAF,1972,8500
Central African Republic,CAF,1973,8500
Central African Republic,CAF,1974,8500
Central African Republic,CAF,1975,11000
Central African Republic,CAF,1976,11000
Central African Republic,CAF,1977,9200
Central African Republic,CAF,1978,8000
Central African Republic,CAF,1979,8000
Central African Republic,CAF,1980,8000
Central African Republic,CAF,1981,8000
Central African Republic,CAF,1982,8000
Central African Republic,CAF,1983,8000
Central African Republic,CAF,1984,8000
Central African Republic,CAF,1985,8000
Central African Republic,CAF,1986,8000
Central African Republic,CAF,1987,8000
Central African Republic,CAF,1988,8000
Central African Republic,CAF,1989,8000
Central African Republic,CAF,1990,8000
Central African Republic,CAF,1991,8000
Central African Republic,CAF,1992,7000
Central African Republic,CAF,1993,5700
Central African Republic,CAF,1994,5700
Central African Republic,CAF,1995,4500
Central African Republic,CAF,1996,4500
Central African Republic,CAF,1997,4500
Central African Republic,CAF,1998,4500
Central African Republic,CAF,1999,4500
Central African Republic,CAF,2000,4000
Central African Republic,CAF,2001,4000
Central African Republic,CAF,2002,4000
Central African Republic,CAF,2003,3700
Central African Republic,CAF,2004,3700
Central African Republic,CAF,2005,3500
Central African Republic,CAF,2006,3000
Central African Republic,CAF,2007,2500
Central African Republic,CAF,2008,1900
Central African Republic,CAF,2009,1220
Central African Republic,CAF,2010,625
Central African Republic,CAF,2011,630
Central African Republic,CAF,2012,630
Central African Republic,CAF,2013,650
Central African Republic,CAF,2014,649
Central African Republic,CAF,2015,650
Central African Republic,CAF,2016,660
Central African Republic,CAF,2017,650
Central African Republic,CAF,2018,625
Central African Republic,CAF,2019,645
Central African Republic,CAF,2020,640
Central African Republic,CAF,2021,636
Central African Republic,CAF,2022,640
Central America (FAO),,1961,22910
Central America (FAO),,1962,26112
Central America (FAO),,1963,24952
Central America (FAO),,1964,26120
Central America (FAO),,1965,26080
Central America (FAO),,1966,26265
Central America (FAO),,1967,24320
Central America (FAO),,1968,27719
Central America (FAO),,1969,25622
Central America (FAO),,1970,21986
Central America (FAO),,1971,20283
Central America (FAO),,1972,22706
Central America (FAO),,1973,28107
Central America (FAO),,1974,29017
Central America (FAO),,1975,24708
Central America (FAO),,1976,29486
Central America (FAO),,1977,28998
Central America (FAO),,1978,31266
Central America (FAO),,1979,35477
Central America (FAO),,1980,35447
Central America (FAO),,1981,36834
Central America (FAO),,1982,36786
Central America (FAO),,1983,41018
Central America (FAO),,1984,40154
Central America (FAO),,1985,41913
Central America (FAO),,1986,45272
Central America (FAO),,1987,44735
Central America (FAO),,1988,47555
Central America (FAO),,1989,50388
Central America (FAO),,1990,57197
Central America (FAO),,1991,61575
Central America (FAO),,1992,65383
Central America (FAO),,1993,60811
Central America (FAO),,1994,71602
Central America (FAO),,1995,76266
Central America (FAO),,1996,77987
Central America (FAO),,1997,81784
Central America (FAO),,1998,88355
Central America (FAO),,1999,103003
Central America (FAO),,2000,111390
Central America (FAO),,2001,133590
Central America (FAO),,2002,144180
Central America (FAO),,2003,150758
Central America (FAO),,2004,168336
Central America (FAO),,2005,179701
Central America (FAO),,2006,204739
Central America (FAO),,2007,216760
Central America (FAO),,2008,230818
Central America (FAO),,2009,245889
Central America (FAO),,2010,263354
Central America (FAO),,2011,281851
Central America (FAO),,2012,314049
Central America (FAO),,2013,373006
Central America (FAO),,2014,402943
Central America (FAO),,2015,450924
Central America (FAO),,2016,482405
Central America (FAO),,2017,520941
Central America (FAO),,2018,553049
Central America (FAO),,2019,600103
Central America (FAO),,2020,652214
Central America (FAO),,2021,670680
Central America (FAO),,2022,685755
China,CHN,1961,0
China,CHN,1962,0
China,CHN,1963,0
China,CHN,1964,0
China,CHN,1965,0
China,CHN,1966,0
China,CHN,1967,0
China,CHN,1968,0
China,CHN,1969,0
China,CHN,1970,0
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,55000
China,CHN,1986,53000
China,CHN,1987,50500
China,CHN,1988,50500
China,CHN,1989,47000
China,CHN,1990,43000
China,CHN,1991,41000
China,CHN,1992,41000
China,CHN,1993,41000
China,CHN,1994,41000
China,CHN,1995,41000
China,CHN,1996,42000
China,CHN,1997,42000
China,CHN,1998,43000
China,CHN,1999,43000
China,CHN,2000,45000
China,CHN,2001,47000
China,CHN,2002,47000
China,CHN,2003,47000
China,CHN,2004,47000
China,CHN,2005,47000
China,CHN,2006,45000
China,CHN,2007,48000
China,CHN,2008,48000
China,CHN,2009,50000
China,CHN,2010,47000
China,CHN,2011,48000
China,CHN,2012,49000
China,CHN,2013,50000
China,CHN,2014,50352
China,CHN,2015,49576
China,CHN,2016,49416
China,CHN,2017,49407
China,CHN,2018,50057
China,CHN,2019,50392
China,CHN,2020,50456
China,CHN,2021,50596
China,CHN,2022,50737
China (FAO),,1985,55000
China (FAO),,1986,53000
China (FAO),,1987,50500
China (FAO),,1988,50500
China (FAO),,1989,47000
China (FAO),,1990,43000
China (FAO),,1991,41000
China (FAO),,1992,41000
China (FAO),,1993,41000
China (FAO),,1994,41000
China (FAO),,1995,41000
China (FAO),,1996,42000
China (FAO),,1997,42000
China (FAO),,1998,43000
China (FAO),,1999,43000
China (FAO),,2000,45000
China (FAO),,2001,47000
China (FAO),,2002,47000
China (FAO),,2003,47000
China (FAO),,2004,47000
China (FAO),,2005,47000
China (FAO),,2006,45000
China (FAO),,2007,48000
China (FAO),,2008,48000
China (FAO),,2009,50000
China (FAO),,2010,47000
China (FAO),,2011,48000
China (FAO),,2012,49000
China (FAO),,2013,50000
China (FAO),,2014,50352
China (FAO),,2015,49576
China (FAO),,2016,49416
China (FAO),,2017,49407
China (FAO),,2018,50057
China (FAO),,2019,50392
China (FAO),,2020,50456
China (FAO),,2021,50596
China (FAO),,2022,50737
Colombia,COL,1961,800
Colombia,COL,1962,1100
Colombia,COL,1963,1250
Colombia,COL,1964,1350
Colombia,COL,1965,1500
Colombia,COL,1966,1650
Colombia,COL,1967,5600
Colombia,COL,1968,10000
Colombia,COL,1969,10000
Colombia,COL,1970,11500
Colombia,COL,1971,13800
Colombia,COL,1972,15000
Colombia,COL,1973,16500
Colombia,COL,1974,18200
Colombia,COL,1975,15700
Colombia,COL,1976,16000
Colombia,COL,1977,17400
Colombia,COL,1978,19200
Colombia,COL,1979,22600
Colombia,COL,1980,25400
Colombia,COL,1981,27700
Colombia,COL,1982,31600
Colombia,COL,1983,35400
Colombia,COL,1984,38746
Colombia,COL,1985,43840
Colombia,COL,1986,48790
Colombia,COL,1987,51560
Colombia,COL,1988,62870
Colombia,COL,1989,76135
Colombia,COL,1990,89671
Colombia,COL,1991,97604
Colombia,COL,1992,108510
Colombia,COL,1993,113395
Colombia,COL,1994,108040
Colombia,COL,1995,113367
Colombia,COL,1996,117853
Colombia,COL,1997,120192
Colombia,COL,1998,123130
Colombia,COL,1999,128423
Colombia,COL,2000,134772
Colombia,COL,2001,138457
Colombia,COL,2002,145026
Colombia,COL,2003,150399
Colombia,COL,2004,157328
Colombia,COL,2005,169564
Colombia,COL,2006,165000
Colombia,COL,2007,165000
Colombia,COL,2008,165000
Colombia,COL,2009,165000
